student_id,course_name,current_grade,attendance_rate,assignments_completed,missed_deadlines,participation_score,midterm_grade,study_group_attendance,office_hours_visits,extra_credit_completed
13,Mathematics 201,68.53,69.52,9,3,71.38,63.58,5,6,0
13,Computer Science 101,73.09,69.52,11,3,74.78,74.74,1,1,1
13,Chemistry 201,70.47,69.52,10,4,65.04,64.33,0,5,2
13,Biology 101,70.38,69.52,8,3,60.23,74.96,0,0,2
14,Physics 101,71.46,68.49,10,2,75.22,64.46,4,4,1
14,Biology 101,74.8,68.49,10,2,69.14,69.65,9,3,1
14,Computer Science 101,70.51,68.49,8,2,62.31,71.51,8,1,0
14,Chemistry 201,71.87,68.49,8,0,66.46,67.82,3,0,0
14,English Literature,74.34,68.49,10,0,62.03,69.29,7,2,0
15,Mathematics 201,83.78,85.6,10,4,82.49,77.31,3,0,1
15,Physics 101,84.06,85.6,9,4,84.97,88.14,5,2,0
15,Computer Science 101,83.78,85.6,9,5,94.61,81.75,1,5,0
15,English Literature,88.98,85.6,9,3,80.9,83.64,8,5,0
16,Chemistry 201,80.46,78.05,10,3,77.38,84.51,8,4,1
16,Computer Science 101,80.66,78.05,10,2,68.69,84.3,7,6,2
16,Physics 101,83.16,78.05,10,3,70.06,78.05,2,1,0
16,English Literature,75.46,78.05,8,2,73.06,80.01,10,2,2
16,Mathematics 201,78.01,78.05,12,2,76.29,77.7,2,1,0
17,Mathematics 201,81.96,84.3,11,3,82.18,90.71,4,0,0
17,Computer Science 101,87.46,84.3,10,3,77.54,89.71,3,0,1
17,Physics 101,79.89,84.3,10,3,75.55,77.89,1,1,1
17,Biology 101,87.06,84.3,11,4,75.85,76.12,3,1,0
18,Chemistry 201,83.76,80.99,12,3,76.13,73.22,9,3,0
18,Mathematics 201,77.29,80.99,11,5,79.13,73.92,0,5,1
18,Biology 101,76.25,80.99,11,4,84.81,85.27,9,4,1
18,English Literature,78.69,80.99,12,3,79.91,87.55,3,4,2
18,Computer Science 101,79.72,80.99,9,3,78.47,82.66,2,0,2
19,Biology 101,82.31,78.55,10,4,78.52,82.11,4,2,0
19,Mathematics 201,82.7,78.55,11,5,69.39,76.73,3,0,2
19,Chemistry 201,78.99,78.55,10,3,75.34,73.47,9,6,2
19,Physics 101,75.06,78.55,12,4,71.21,84.12,6,0,0
20,Chemistry 201,69.13,72.16,10,1,72.06,80.6,4,2,1
20,Biology 101,78.18,72.16,10,1,71.86,67.31,1,6,0
20,Physics 101,76.81,72.16,8,2,72.24,80.23,6,5,0
20,Mathematics 201,73.44,72.16,11,2,63.56,66.41,6,1,0
20,English Literature,70.51,72.16,9,3,80.66,72.32,9,5,1
21,English Literature,75.64,72.28,10,3,69.8,77.86,4,2,0
21,Mathematics 201,73.11,72.28,12,1,74.84,72.58,7,0,1
21,Biology 101,76.31,72.28,11,1,78.98,69.81,7,5,0
21,Physics 101,69.96,72.28,8,1,68.42,67.17,4,6,0
22,Chemistry 201,88.38,85.38,8,4,80.08,91.29,2,4,1
22,English Literature,87.31,85.38,8,4,93.17,84.88,10,3,2
22,Computer Science 101,81.15,85.38,9,4,81.6,81.18,5,1,1
22,Physics 101,85.7,85.38,9,3,84.56,77.62,4,0,0
23,English Literature,83.96,81.71,11,3,82.21,85.16,8,3,2
23,Chemistry 201,79.41,81.71,11,3,88.1,77.48,5,5,2
23,Physics 101,78.66,81.71,8,5,72.23,75.92,5,3,1
23,Mathematics 201,82.79,81.71,11,3,74.24,77.74,2,1,0
23,Computer Science 101,76.62,81.71,9,4,90.81,74.17,2,6,1
24,Chemistry 201,68.1,69.71,11,1,77.08,75.89,2,3,0
24,Mathematics 201,74.76,69.71,12,2,67.33,79.11,2,5,0
24,Biology 101,73.82,69.71,9,3,67.79,63.87,3,5,1
24,Computer Science 101,74.91,69.71,11,1,68.48,70.18,9,1,1
25,Chemistry 201,67.47,64.45,8,1,58.72,69.86,5,2,1
25,Physics 101,63.09,64.45,11,1,56.5,60.98,1,1,1
25,English Literature,64.17,64.45,11,1,71.22,68.52,4,2,0
25,Computer Science 101,63.29,64.45,9,0,68.6,72.38,1,5,1
25,Mathematics 201,63.07,64.45,10,0,73.27,74.25,7,0,0
26,Chemistry 201,78.87,84.46,10,4,76.82,74.72,10,5,1
26,Mathematics 201,81.67,84.46,11,5,94.4,88.66,3,5,1
26,Computer Science 101,78.21,84.46,12,3,89.93,78.76,10,6,0
26,English Literature,79.04,84.46,10,3,85.46,86.2,8,0,1
26,Biology 101,86.2,84.46,8,4,81.34,88.08,9,1,1
27,English Literature,63.09,66.3,12,1,63.97,70.92,3,1,0
27,Physics 101,62.3,66.3,11,2,58.77,61.86,3,0,0
27,Mathematics 201,63.49,66.3,8,3,67.7,60.56,5,1,1
27,Biology 101,67.51,66.3,9,2,75.27,62.83,4,1,2
28,Physics 101,74.62,72.29,9,1,74.04,73.75,1,4,1
28,Biology 101,77.34,72.29,11,2,68.44,66.52,1,0,1
28,English Literature,76.51,72.29,8,3,71.72,67.51,6,6,1
28,Mathematics 201,78.61,72.29,12,1,80.54,80.41,8,0,1
28,Chemistry 201,77.07,72.29,10,1,65.37,78.9,10,3,0
29,English Literature,69.99,67.24,11,2,77.13,69.98,8,0,1
29,Computer Science 101,73.54,67.24,9,0,60.45,72.29,6,1,2
29,Biology 101,71.74,67.24,8,1,60.2,64.07,4,3,0
29,Mathematics 201,72.31,67.24,12,2,74.42,68.58,8,6,0
29,Physics 101,72.27,67.24,12,2,65.92,75.06,10,0,0
30,English Literature,78.18,83.91,10,5,85.67,76.27,9,6,1
30,Computer Science 101,78.86,83.91,11,4,76.96,74.63,0,0,2
30,Chemistry 201,86.23,83.91,12,4,93.12,88.23,2,0,1
30,Physics 101,82.54,83.91,10,4,88.24,83.76,6,6,1
31,Chemistry 201,75.88,74.11,9,1,66.09,71.33,2,5,1
31,Computer Science 101,79.6,74.11,12,2,80.71,74.11,5,0,0
31,Biology 101,75.77,74.11,10,2,66.29,71.91,2,6,0
31,Mathematics 201,73.69,74.11,12,1,76.81,81.68,10,4,2
32,Computer Science 101,82.87,77.52,11,0,71.32,83.3,6,1,1
32,Mathematics 201,77.28,77.52,8,1,73.41,81.57,6,6,0
32,Biology 101,77.53,77.52,10,2,84.03,78.63,7,3,2
32,Physics 101,77.0,77.52,12,1,74.3,74.67,8,0,2
33,Mathematics 201,59.71,60.29,12,0,61.88,60.84,2,0,2
33,Chemistry 201,59.97,60.29,10,2,50.85,68.1,10,0,2
33,English Literature,59.93,60.29,11,2,56.29,55.59,6,2,0
33,Computer Science 101,65.01,60.29,12,2,51.69,67.92,1,6,1
33,Biology 101,62.69,60.29,8,1,55.64,58.39,5,2,0
34,Biology 101,79.32,81.15,11,4,78.72,74.25,7,1,0
34,Computer Science 101,83.76,81.15,8,3,76.01,83.15,0,5,0
34,Mathematics 201,80.85,81.15,9,4,86.06,79.66,9,0,1
34,English Literature,83.06,81.15,11,3,88.4,86.37,6,2,0
34,Chemistry 201,81.28,81.15,11,3,82.51,78.28,4,0,0
35,Physics 101,95.09,91.47,9,5,85.91,95.4,3,1,0
35,Biology 101,91.23,91.47,11,3,88.31,95.75,4,1,1
35,English Literature,94.94,91.47,9,5,92.77,95.87,8,1,1
35,Mathematics 201,92.65,91.47,9,3,93.63,97.93,10,2,2
36,Biology 101,80.16,79.95,8,3,79.48,75.73,7,1,0
36,Chemistry 201,73.41,79.95,11,5,89.17,70.62,8,4,2
36,Physics 101,79.02,79.95,11,3,70.41,74.37,6,2,0
36,English Literature,79.43,79.95,10,5,75.89,79.51,8,3,1
37,Physics 101,59.68,63.08,9,1,66.17,67.6,3,2,0
37,Chemistry 201,59.57,63.08,12,1,63.71,71.67,5,6,1
37,English Literature,69.35,63.08,12,2,55.31,67.73,1,0,0
37,Computer Science 101,69.38,63.08,8,2,68.42,61.24,5,6,2
38,Computer Science 101,71.39,77.29,9,4,82.39,71.69,1,2,1
38,Physics 101,79.05,77.29,8,5,83.67,68.76,7,2,1
38,Chemistry 201,74.8,77.29,10,5,74.66,78.26,3,0,1
38,Biology 101,79.43,77.29,11,3,70.2,83.7,2,6,2
38,English Literature,80.54,77.29,10,3,79.32,75.24,4,5,0
39,English Literature,86.54,82.21,9,5,90.74,76.78,10,5,1
39,Computer Science 101,80.82,82.21,10,5,85.2,86.57,0,4,1
39,Physics 101,84.53,82.21,9,3,82.21,75.31,3,0,1
39,Mathematics 201,85.14,82.21,10,3,87.73,78.45,5,3,2
39,Chemistry 201,82.6,82.21,10,4,86.58,83.81,9,6,2
40,Chemistry 201,61.74,62.96,10,1,58.0,67.58,3,4,1
40,Physics 101,68.09,62.96,10,0,63.0,72.59,3,2,1
40,Biology 101,66.37,62.96,8,2,66.63,58.36,8,0,2
40,English Literature,65.32,62.96,11,0,57.73,63.0,3,2,1
40,Computer Science 101,68.86,62.96,12,1,60.32,58.81,9,4,0
41,English Literature,85.05,86.4,8,4,78.66,94.44,6,3,0
41,Biology 101,85.27,86.4,11,5,94.83,79.36,1,6,2
41,Mathematics 201,90.06,86.4,12,3,95.85,89.98,5,4,1
41,Physics 101,86.87,86.4,10,4,78.09,88.23,5,1,2
41,Chemistry 201,83.5,86.4,12,3,84.55,83.98,8,2,0
42,English Literature,80.52,77.54,10,3,81.77,76.64,7,3,0
42,Chemistry 201,75.2,77.54,8,4,68.35,77.95,9,4,1
42,Physics 101,81.47,77.54,10,4,77.52,84.47,0,5,1
42,Computer Science 101,74.68,77.54,11,5,87.42,79.2,8,6,1
43,Biology 101,69.04,67.96,11,1,65.23,66.73,3,3,1
43,Mathematics 201,71.07,67.96,10,1,63.55,63.62,8,5,0
43,English Literature,74.26,67.96,11,1,65.43,71.93,9,2,1
43,Computer Science 101,73.41,67.96,11,2,61.69,74.89,7,1,1
43,Physics 101,69.37,67.96,9,1,59.56,69.87,7,1,0
44,Physics 101,82.74,88.41,8,3,81.69,79.5,5,4,0
44,Chemistry 201,88.54,88.41,12,5,92.6,79.73,2,2,1
44,Computer Science 101,89.17,88.41,12,5,86.91,92.21,0,6,1
44,Mathematics 201,83.89,88.41,11,4,96.15,89.32,7,5,2
45,Computer Science 101,73.31,74.96,11,3,77.12,70.83,7,2,2
45,Mathematics 201,69.77,74.96,11,2,82.38,78.63,4,1,0
45,Biology 101,77.14,74.96,8,1,78.24,75.76,10,5,0
45,Chemistry 201,77.79,74.96,10,1,82.67,79.46,0,3,1
45,English Literature,76.02,74.96,9,2,79.83,72.71,5,5,0
46,Physics 101,88.49,89.99,8,4,84.47,86.04,0,3,2
46,Biology 101,88.47,89.99,10,5,86.61,89.91,7,2,1
46,Chemistry 201,91.78,89.99,11,5,80.18,95.79,6,3,1
46,Mathematics 201,89.46,89.99,8,5,99.35,85.4,7,0,1
47,Physics 101,64.11,62.9,8,2,64.21,58.94,7,3,1
47,Mathematics 201,64.78,62.9,11,2,53.41,60.63,5,6,0
47,Computer Science 101,62.02,62.9,11,2,58.58,58.78,10,1,1
47,Chemistry 201,67.14,62.9,10,2,61.9,61.34,0,6,0
47,English Literature,64.84,62.9,9,1,66.19,65.55,1,6,0
48,Physics 101,72.54,79.61,11,5,69.97,72.31,1,4,2
48,Chemistry 201,74.37,79.61,10,4,82.88,73.25,8,5,1
48,Mathematics 201,76.18,79.61,10,3,75.8,84.31,4,3,2
48,Biology 101,77.83,79.61,11,4,79.83,71.19,3,1,2
49,Mathematics 201,85.42,88.29,11,4,92.22,80.83,0,4,0
49,Biology 101,83.18,88.29,12,3,82.87,80.28,5,4,0
49,Computer Science 101,91.21,88.29,8,4,91.16,90.44,7,4,1
49,Physics 101,84.7,88.29,8,4,97.73,89.84,8,4,0
49,Chemistry 201,83.36,88.29,8,3,97.48,80.01,3,3,2
50,Physics 101,83.01,81.68,8,3,85.64,84.01,1,6,1
50,Computer Science 101,76.94,81.68,12,3,88.55,75.48,0,0,1
50,English Literature,82.72,81.68,8,4,77.18,74.61,2,0,0
50,Biology 101,81.12,81.68,8,3,72.32,77.15,5,2,0
50,Chemistry 201,83.2,81.68,12,5,83.09,81.32,6,4,0
51,Biology 101,82.44,76.5,9,1,68.36,85.7,2,4,1
51,Chemistry 201,74.04,76.5,8,2,67.15,79.75,8,4,2
51,Mathematics 201,76.91,76.5,11,3,85.9,83.93,4,3,2
51,Computer Science 101,79.21,76.5,11,1,67.23,85.3,6,3,2
52,Chemistry 201,97.13,98.5,12,4,100,100,10,5,1
52,Physics 101,97.09,98.5,8,4,96.32,96.0,9,3,2
52,Mathematics 201,98.86,98.5,10,4,94.87,100,2,6,0
52,Biology 101,100,98.5,9,5,100,95.34,10,2,1
52,Computer Science 101,95.49,98.5,10,4,91.98,99.12,10,5,0
53,Mathematics 201,78.46,85.01,10,3,90.22,90.74,2,5,0
53,Biology 101,83.04,85.01,8,5,88.81,79.55,9,0,0
53,Chemistry 201,79.13,85.01,12,4,85.65,83.7,7,0,0
53,Physics 101,79.44,85.01,12,3,79.98,87.48,1,2,2
54,Physics 101,75.61,77.04,12,2,68.69,79.61,9,6,2
54,Mathematics 201,73.77,77.04,10,3,77.44,76.16,2,0,1
54,English Literature,75.96,77.04,11,1,70.51,72.24,7,5,0
54,Computer Science 101,77.35,77.04,9,3,76.36,78.51,2,1,1
54,Biology 101,82.62,77.04,9,3,77.55,79.46,2,4,1
55,English Literature,74.35,67.09,12,2,76.93,70.59,10,0,2
55,Physics 101,72.08,67.09,12,1,72.1,62.22,4,0,1
55,Chemistry 201,72.93,67.09,12,2,75.83,75.49,4,5,0
55,Computer Science 101,67.52,67.09,12,1,66.04,74.91,0,2,1
56,English Literature,81.12,79.08,9,5,78.45,82.93,3,2,0
56,Mathematics 201,75.12,79.08,10,3,81.16,69.59,0,4,1
56,Chemistry 201,75.04,79.08,9,5,72.6,69.92,10,1,1
56,Biology 101,75.22,79.08,11,4,84.16,70.18,7,6,1
56,Physics 101,79.08,79.08,12,3,74.13,83.74,6,6,0
57,Biology 101,58.89,58.74,12,1,67.52,52.28,6,3,1
57,Physics 101,55.09,58.74,9,1,53.76,58.72,7,6,1
57,Computer Science 101,59.8,58.74,12,0,53.71,61.49,5,3,2
57,Mathematics 201,58.84,58.74,12,2,60.2,59.0,2,4,0
58,Biology 101,80.77,85.54,8,4,86.03,77.81,7,4,1
58,Computer Science 101,84.63,85.54,10,3,94.05,85.87,0,1,1
58,Mathematics 201,89.11,85.54,10,5,92.47,77.33,8,1,0
58,English Literature,89.05,85.54,11,3,88.53,79.49,1,1,2
59,Mathematics 201,65.1,61.2,11,2,54.54,65.11,1,5,0
59,Computer Science 101,58.78,61.2,8,2,54.15,64.25,6,3,1
59,Biology 101,61.85,61.2,8,1,55.61,55.76,2,3,0
59,English Literature,67.86,61.2,8,0,70.74,63.85,4,4,1
59,Chemistry 201,64.49,61.2,12,2,60.48,61.73,9,6,0
60,English Literature,74.79,68.2,10,2,58.51,62.08,3,1,0
60,Mathematics 201,69.92,68.2,10,1,71.44,71.69,4,4,1
60,Physics 101,74.38,68.2,9,1,69.7,68.46,4,1,0
60,Biology 101,70.7,68.2,11,2,71.88,75.82,10,4,0
60,Computer Science 101,73.41,68.2,10,0,66.98,67.39,3,6,2
61,English Literature,93.92,90.44,9,5,90.52,88.1,7,4,1
61,Biology 101,88.82,90.44,12,4,97.85,90.6,9,2,1
61,Physics 101,90.12,90.44,10,3,95.66,93.58,0,2,0
61,Computer Science 101,96.39,90.44,8,5,94.01,85.24,3,1,0
61,Mathematics 201,88.49,90.44,11,4,91.79,92.0,4,5,1
62,Mathematics 201,82.7,80.14,9,2,80.06,77.99,4,1,2
62,Biology 101,82.36,80.14,11,3,75.05,75.17,4,1,0
62,Chemistry 201,78.62,80.14,8,2,75.87,82.06,2,4,1
62,Computer Science 101,85.94,80.14,10,1,89.22,82.56,6,2,0
63,Biology 101,76.0,68.21,11,4,65.09,74.25,5,0,1
63,Mathematics 201,71.77,68.21,12,5,65.09,76.62,4,6,1
63,Physics 101,76.03,68.21,8,3,60.25,76.86,9,1,2
63,Chemistry 201,72.73,68.21,11,4,59.43,77.54,1,0,0
63,Computer Science 101,72.41,68.21,8,4,67.7,71.86,3,4,2
64,Computer Science 101,80.07,80.37,10,2,84.72,77.9,4,4,1
64,Biology 101,82.68,80.37,12,1,79.91,87.77,7,1,0
64,Physics 101,82.39,80.37,10,1,73.92,89.04,7,6,1
64,Mathematics 201,85.63,80.37,12,2,82.27,74.94,2,5,0
65,Computer Science 101,65.15,68.35,11,1,63.59,75.04,7,3,2
65,Biology 101,74.95,68.35,9,0,66.33,76.02,9,2,1
65,Physics 101,71.87,68.35,11,0,66.45,70.42,1,6,2
65,English Literature,69.57,68.35,10,0,77.32,64.94,5,0,0
65,Chemistry 201,72.82,68.35,11,2,61.25,64.98,1,1,1
66,Physics 101,77.27,75.38,10,1,82.25,80.34,4,2,0
66,English Literature,73.16,75.38,9,3,81.08,72.42,4,0,0
66,Chemistry 201,76.35,75.38,9,3,70.8,83.79,7,1,1
66,Computer Science 101,73.37,75.38,11,2,69.83,81.91,0,2,1
67,English Literature,77.93,81.72,10,4,86.82,81.35,1,3,1
67,Computer Science 101,78.17,81.72,12,3,85.03,86.47,4,3,0
67,Chemistry 201,79.92,81.72,11,3,91.53,88.56,7,6,2
67,Biology 101,78.13,81.72,11,4,81.91,85.42,1,3,1
68,Mathematics 201,87.17,86.38,9,3,76.62,86.43,9,0,0
68,Biology 101,86.91,86.38,10,4,91.28,76.76,5,2,1
68,English Literature,88.3,86.38,9,3,82.49,89.04,10,0,1
68,Computer Science 101,82.05,86.38,12,3,87.02,89.15,1,4,2
69,Physics 101,80.05,77.89,10,1,81.31,70.99,8,3,0
69,English Literature,76.81,77.89,8,1,73.22,82.48,8,6,2
69,Biology 101,82.11,77.89,8,1,75.51,76.44,10,6,1
69,Mathematics 201,74.84,77.89,12,1,71.63,82.36,4,6,1
70,Computer Science 101,72.2,65.26,9,2,65.18,61.49,2,5,2
70,Chemistry 201,68.19,65.26,11,1,70.51,65.26,9,6,2
70,English Literature,65.59,65.26,8,0,66.44,60.41,10,6,1
70,Mathematics 201,65.87,65.26,9,0,68.31,68.57,3,6,1
71,Mathematics 201,88.31,88.88,11,5,82.28,83.0,0,0,0
71,Chemistry 201,85.82,88.88,10,5,95.36,94.62,6,5,1
71,Computer Science 101,90.14,88.88,9,5,90.68,83.41,1,3,0
71,English Literature,92.54,88.88,11,5,86.94,85.53,6,0,2
71,Biology 101,84.46,88.88,11,4,97.65,89.97,3,3,0
72,English Literature,82.54,84.66,12,3,76.03,90.45,1,4,0
72,Chemistry 201,84.63,84.66,12,4,88.25,82.95,1,4,1
72,Mathematics 201,85.15,84.66,11,3,75.31,84.31,1,3,1
72,Biology 101,81.66,84.66,9,3,90.45,91.26,0,5,1
72,Physics 101,83.43,84.66,11,5,76.17,89.46,9,2,1
73,Chemistry 201,91.7,89.28,9,4,95.89,93.49,1,2,0
73,English Literature,94.35,89.28,11,3,87.95,84.55,4,0,0
73,Mathematics 201,91.04,89.28,9,3,94.07,90.32,6,6,1
73,Computer Science 101,89.17,89.28,8,3,87.96,83.94,10,5,1
74,Physics 101,68.38,71.46,12,2,75.93,70.59,6,6,1
74,Mathematics 201,73.64,71.46,8,3,69.1,64.35,9,6,1
74,Computer Science 101,76.6,71.46,10,1,70.39,78.91,7,2,0
74,English Literature,75.21,71.46,9,3,68.11,70.47,8,2,2
75,Mathematics 201,86.55,89.28,8,3,86.42,83.73,7,5,0
75,Biology 101,87.18,89.28,10,5,80.16,90.45,8,1,0
75,English Literature,86.41,89.28,12,4,96.74,95.37,2,1,2
75,Computer Science 101,87.44,89.28,9,5,90.47,88.41,8,3,0
76,Chemistry 201,76.99,73.44,8,3,75.0,69.28,1,5,2
76,Physics 101,77.39,73.44,10,2,76.67,76.9,2,1,0
76,English Literature,74.49,73.44,9,2,80.46,81.86,3,5,0
76,Biology 101,74.88,73.44,8,1,65.77,71.29,1,6,0
77,Computer Science 101,89.05,87.35,9,3,95.35,92.52,2,1,1
77,Chemistry 201,90.5,87.35,9,5,81.92,83.24,5,5,2
77,English Literature,87.98,87.35,8,5,81.08,84.38,7,4,2
77,Mathematics 201,86.43,87.35,11,4,82.09,93.68,6,5,1
77,Physics 101,84.94,87.35,12,3,83.22,89.73,7,1,2
78,Physics 101,86.78,83.49,8,5,74.96,80.84,1,3,0
78,Chemistry 201,88.73,83.49,10,3,87.96,78.57,0,2,0
78,Biology 101,80.73,83.49,10,3,86.32,88.13,9,6,0
78,Computer Science 101,79.02,83.49,12,3,93.45,87.8,2,2,0
78,English Literature,85.37,83.49,10,5,87.72,80.55,1,4,1
79,Chemistry 201,83.58,81.88,11,3,79.17,80.23,0,5,0
79,Computer Science 101,84.32,81.88,12,5,79.05,74.42,2,6,2
79,Physics 101,77.05,81.88,10,4,85.4,76.57,9,6,1
79,Mathematics 201,78.52,81.88,8,5,78.6,83.8,7,5,1
80,Biology 101,65.15,63.63,11,1,73.31,61.75,7,6,1
80,Chemistry 201,61.65,63.63,8,1,61.33,65.6,3,6,0
80,Computer Science 101,69.83,63.63,10,1,69.6,57.99,6,6,0
80,English Literature,62.8,63.63,11,1,55.91,66.73,2,5,2
81,Computer Science 101,72.66,70.97,9,5,76.75,70.16,0,3,1
81,Mathematics 201,67.64,70.97,11,5,63.1,73.15,6,6,0
81,English Literature,75.86,70.97,10,4,72.09,77.33,6,4,0
81,Chemistry 201,71.02,70.97,11,4,73.84,75.15,1,3,0
81,Physics 101,73.06,70.97,10,3,65.07,71.34,1,4,2
82,Biology 101,75.05,68.88,10,5,72.4,73.72,4,2,0
82,Mathematics 201,72.59,68.88,9,3,61.73,69.21,7,0,0
82,Chemistry 201,71.5,68.88,9,4,72.52,70.66,10,1,0
82,Computer Science 101,74.41,68.88,10,3,66.8,73.47,10,1,0
83,English Literature,77.34,76.29,8,4,71.35,68.48,5,5,1
83,Computer Science 101,77.27,76.29,12,3,82.82,77.47,9,2,0
83,Biology 101,79.23,76.29,11,3,82.39,75.43,7,4,1
83,Mathematics 201,72.65,76.29,11,4,70.19,69.66,8,1,0
83,Physics 101,75.16,76.29,8,4,71.48,68.59,0,3,2
84,Chemistry 201,76.52,79.1,8,3,84.65,75.85,7,6,0
84,Biology 101,81.67,79.1,11,3,77.12,70.07,4,5,1
84,Computer Science 101,74.51,79.1,12,5,73.74,82.32,3,6,0
84,English Literature,76.32,79.1,9,3,76.86,72.33,3,6,1
85,Physics 101,80.3,78.56,10,2,74.8,77.13,6,5,2
85,Chemistry 201,84.34,78.56,8,1,70.06,77.3,9,5,1
85,Mathematics 201,83.19,78.56,9,2,86.04,72.29,6,4,0
85,Computer Science 101,79.31,78.56,11,1,69.74,87.11,5,4,1
85,Biology 101,85.0,78.56,10,3,76.68,82.58,2,4,0
86,Computer Science 101,67.79,68.11,10,5,61.57,67.76,4,6,2
86,Biology 101,68.48,68.11,12,5,58.28,72.77,0,3,2
86,Chemistry 201,67.58,68.11,8,5,70.69,72.33,4,5,0
86,Mathematics 201,66.56,68.11,9,4,69.56,75.21,8,6,1
86,Physics 101,70.91,68.11,12,4,71.89,77.85,6,5,1
87,Mathematics 201,71.8,69.58,11,3,63.62,65.04,9,6,0
87,Chemistry 201,71.68,69.58,11,4,67.73,78.09,4,6,0
87,Biology 101,71.26,69.58,10,3,73.64,71.26,9,1,0
87,English Literature,71.61,69.58,8,4,65.21,73.67,2,2,0
88,Chemistry 201,98.59,95.03,12,5,95.0,97.43,9,1,1
88,Biology 101,97.79,95.03,10,4,92.0,88.14,1,2,1
88,Physics 101,91.47,95.03,8,5,92.11,89.44,2,2,0
88,English Literature,90.11,95.03,12,4,100,98.55,5,0,0
89,Physics 101,76.49,72.05,11,5,65.04,76.85,8,4,1
89,English Literature,69.38,72.05,10,3,74.34,73.88,1,0,2
